idx,x,y,z,heading_deg,gimbal_pitch_deg,action
206,133.00822038444022,128.67,222.66233766233768,180.0,-90.0,photo
207,124.67222038444021,128.67,222.66233766233765,180.0,-90.0,photo
208,116.33622038444021,128.67,222.66233766233765,180.0,-90.0,photo
209,108.00022038444021,128.67,222.66233766233765,180.0,-90.0,photo
210,99.66422038444021,128.67,222.66233766233765,180.0,-90.0,photo
211,91.32822038444021,128.67,222.66233766233765,180.0,-90.0,photo
212,82.99222038444022,128.67,222.66233766233765,180.0,-90.0,photo
213,74.65622038444022,128.67,222.66233766233765,180.0,-90.0,photo
214,66.32022038444023,128.67,222.66233766233762,180.0,-90.0,photo
215,57.98422038444023,128.67,222.66233766233768,180.0,-90.0,photo
216,49.64822038444023,128.67,222.66233766233765,180.0,-90.0,photo
217,41.31222038444023,128.67,222.66233766233765,180.0,-90.0,photo
218,32.97622038444023,128.67,222.66233766233765,180.0,-90.0,photo
219,24.640220384440234,128.67,222.66233766233765,180.0,-90.0,photo
220,16.304220384440235,128.67,222.66233766233765,180.0,-90.0,photo
221,7.968220384440244,128.67,222.66233766233765,180.0,-90.0,photo
222,-0.3677796155597548,128.67,222.66233766233765,180.0,-90.0,photo
223,-8.703779615559753,128.67,222.66233766233765,180.0,-90.0,photo
224,-13.555902541432502,147.426,222.66233766233765,0.0,-90.0,photo
225,-5.2199025414325035,147.426,222.66233766233765,0.0,-90.0,photo
226,3.116097458567495,147.426,222.66233766233765,0.0,-90.0,photo
227,11.452097458567494,147.426,222.66233766233765,0.0,-90.0,photo
228,19.788097458567492,147.426,222.66233766233762,0.0,-90.0,photo
229,28.12409745856749,147.426,222.66233766233765,0.0,-90.0,photo
230,36.46009745856749,147.426,222.66233766233765,0.0,-90.0,photo
231,44.79609745856749,147.426,222.66233766233765,0.0,-90.0,photo
232,53.132097458567486,147.426,222.66233766233765,0.0,-90.0,photo
233,61.468097458567485,147.426,222.66233766233765,0.0,-90.0,photo
234,69.80409745856748,147.426,222.66233766233765,0.0,-90.0,photo
235,78.14009745856748,147.426,222.66233766233765,0.0,-90.0,photo
236,86.47609745856748,147.426,222.66233766233765,0.0,-90.0,photo
237,94.81209745856748,147.426,222.66233766233762,0.0,-90.0,photo
238,103.14809745856746,147.426,222.66233766233765,0.0,-90.0,photo
239,111.48409745856748,147.426,222.66233766233765,0.0,-90.0,photo
240,119.82009745856746,147.426,222.66233766233765,0.0,-90.0,photo
241,128.15609745856747,147.426,222.66233766233765,0.0,-90.0,photo
242,136.49209745856746,147.426,222.22736713261364,0.0,-90.0,photo
243,144.82809745856747,147.426,220.41702438233622,0.0,-90.0,photo
244,153.16409745856745,147.426,218.21567613659045,0.0,-90.0,photo
245,161.50009745856744,147.426,215.4218520857618,0.0,-90.0,photo
246,169.83609745856745,147.426,212.76677993747458,0.0,-90.0,photo
247,178.17209745856746,147.426,210.27859017902165,0.0,-90.0,photo
248,186.50809745856745,147.426,207.99291915360732,0.0,-90.0,photo
249,194.84409745856743,147.426,205.92202617482292,0.0,-90.0,photo
250,203.18009745856745,147.426,204.07386568333132,0.0,-90.0,photo
251,211.51609745856743,147.426,202.46423958167404,0.0,-90.0,photo
